Date,LNG,Domestic,lnMD,NBP,HH,lnPdPm
01/03/09,13422.8,198753.92,-2.695112723,6.544974273,4.577454545,0.357554401
01/06/09,19025.23,181093.51,-2.253247535,4.275921475,3.70122807,0.144334954
01/09/09,30321.5,129951.46,-1.455303964,3.826394429,3.16440678,0.189957351
01/12/09,49467.99,169545.34,-1.23179459,5.196569961,4.355762712,0.176499055
01/03/10,48753.68,178842.46,-1.299724625,5.230260054,5.126481481,0.020041447
01/06/10,49206.12,169541.99,-1.237082619,5.526588779,4.305862069,0.249593402
01/09/10,44496.09,140433.57,-1.149333245,6.595826293,4.288813559,0.430426934
01/12/10,64390.11,153696.67,-0.870020935,8.173288612,3.802931034,0.765099257
01/03/11,79545.14,146728.71,-0.612260712,9.087511186,4.1925,0.773603859
01/06/11,82736.41,127397.62,-0.43165329,9.468383121,4.365517241,0.774221476
01/09/11,60813.75,101190.31,-0.509187087,9.152192332,4.120508475,0.798016878
01/12/11,51698.93,136035.52,-0.967478943,9.661959093,3.325535714,1.066565654
01/03/12,39224.45,128431.21,-1.186093153,9.04686624,2.44,1.310420387
01/06/12,48076.31,110756.23,-0.83454212,8.855164894,2.285079365,1.354600136
01/09/12,35223.42,89433.88,-0.931788379,8.988032419,2.87952381,1.138269025
01/12/12,27573.5,106320.09,-1.349599094,10.61287422,3.398125,1.138844004
01/03/13,16226.15,109769.94,-1.911762583,10.48553703,3.489333333,1.100286186
01/06/13,44195.74,108900.48,-0.901806033,9.998646217,4.01703125,0.911906571
01/09/13,19427.6,86889.32,-1.497940389,10.154324,3.553174603,1.050058166
01/12/13,22770.84,104900.37,-1.527530273,11.35273155,3.84953125,1.081506993
01/03/14,12911.18,112347.87,-2.163506437,10.03158476,5.179672131,0.660996833
01/06/14,43973.47,105343.27,-0.873637758,7.608294915,4.607580645,0.501536175
01/09/14,40150.92,91184.86,-0.82024352,7.29005141,3.964920635,0.60902476
01/12/14,26874.29,106638.96,-1.378278856,8.644505621,3.774920635,0.828544572
01/03/15,35618.03,112571.79,-1.150739181,7.186825962,2.898196721,0.908160899
01/06/15,36580.54,118538.79,-1.175723844,6.642215737,2.746935484,0.882959682
01/09/15,39206.95,99295.98,-0.92925106,6.405188841,2.76,0.841877738
01/12/15,41000.95,121030.51,-1.082447425,5.757292945,2.12578125,0.996328008
01/03/16,36068.78,118588.38,-1.190230834,4.256733218,1.9765,0.767174412
01/06/16,34482.96,112598.81,-1.183365858,4.36465823,2.15171875,0.707272947
01/09/16,34145.21,110387.39,-1.173373594,4.411996727,2.88,0.426537065
01/12/16,12307.75,121739.86,-2.291657328,5.912207297,3.036349206,0.666363372
01/03/17,14084.27,124552.13,-2.179665771,5.97570425,3.002741935,0.688176107
01/06/17,23858.88,120188.29,-1.616903121,4.784517383,3.076825397,0.441486809
01/09/17,19194.55,98056.57,-1.630918172,5.470089061,2.952419355,0.616669944
01/12/17,16270.91,122184.27,-2.016151464,7.199678073,2.905238095,0.907520966
01/03/18,8330.65,119306.55,-2.661754747,7.07602359,3.08,0.831782513
01/06/18,18246.42,111859.25,-1.813272488,7.217524711,2.855555556,0.927245642
01/09/18,9542.98,104737.35,-2.395649982,8.428291197,2.928730159,1.05702511
01/12/18,41990.56,115253.5,-1.009689219,8.85384078,3.768852459,0.854080784
01/03/19,46023.21,112087.05,-0.890129967,6.31630447,2.923934426,0.770204186
01/06/19,54139.86,105839.62,-0.670354231,4.084073711,2.565396825,0.464981774
01/09/19,19459.77,97246.68,-1.608901586,3.939786579,2.376666667,0.505427608
01/12/19,74823.71,121034.34,-0.480939494,5.147500084,2.389206349,0.767549937
01/03/20,69409.25,115732.49,-0.511261263,3.102459526,1.904677419,0.487882532
01/06/20,59001.1,116044.91,-0.676421184,1.668578594,1.704603175,-0.021360219
01/09/20,26157.42,97645.2,-1.317207603,2.370773,2.034761905,0.15283725
