DATE,NCF,RCF
2/01/09,74.35,81
5/01/09,77.65,84.4
6/01/09,81.25,88.5
7/01/09,78.65,86.25
8/01/09,79.15,84
9/01/09,76.9,83.5
12/01/09,78.8,81.5
13/01/09,80.1,80.25
14/01/09,80.15,79.5
15/01/09,80.9,80.5
20/01/09,81.25,77.85
21/01/09,81.35,78.15
22/01/09,81.75,77.75
23/01/09,82,77.75
26/01/09,82.25,78.5
27/01/09,83.05,78
28/01/09,82.65,78
29/01/09,82.9,78.25
30/01/09,82.6,76.75
3/02/09,76,74.5
4/02/09,76.75,75.75
5/02/09,77.65,76.75
6/02/09,77.9,78.25
9/02/09,80,80.9
10/02/09,78.6,78.25
11/02/09,78,76.15
12/02/09,77,77.5
17/02/09,77.35,76
18/02/09,77,76
19/02/09,77.6,74.4
20/02/09,77.6,74.15
23/02/09,76.7,70.75
24/02/09,76,69.9
25/02/09,75.85,69.75
26/02/09,75.85,70.4
27/02/09,72.35,69
3/03/09,61.35,54.65
4/03/09,62.4,57.4
5/03/09,61.6,57.4
6/03/09,61.35,57.6
9/03/09,61.75,58
10/03/09,62.1,59.25
11/03/09,62.75,57.45
12/03/09,61.85,56.4
13/03/09,62.05,56.9
16/03/09,61.6,57
18/03/09,61.75,57.5
19/03/09,62.9,60.15
20/03/09,62.25,60.25
23/03/09,62.15,63
24/03/09,62.25,63.15
25/03/09,61.85,62.9
26/03/09,62,63.65
27/03/09,61.5,61.5
31/03/09,61.1,63.9
1/04/09,62,64.4
2/04/09,64.15,67.25
3/04/09,63.75,66.5
6/04/09,62.35,66.35
7/04/09,62.65,66.75
8/04/09,62.1,66.4
9/04/09,62.9,67
13/04/09,62.9,67
14/04/09,62.6,67.15
15/04/09,62.85,67
17/04/09,62.9,66.6
20/04/09,62.9,66.25
21/04/09,62.75,65.75
22/04/09,62.75,65.5
23/04/09,62.25,65.25
24/04/09,62.35,65.45
28/04/09,61.95,58.9
29/04/09,61.75,60
30/04/09,62.45,60.55
1/05/09,62.4,60.5
4/05/09,62.4,60.5
5/05/09,63.5,60.4
6/05/09,62.13,60.25
7/05/09,63.42,61.38
8/05/09,63.5,61.5
11/05/09,62.63,60.75
12/05/09,63.5,62
13/05/09,63,62.1
14/05/09,63.5,61.5
18/05/09,63.75,62.1
19/05/09,64.25,62.25
20/05/09,65.5,62.6
21/05/09,65.3,62.35
22/05/09,65.55,62.9
26/05/09,64.83,63.63
27/05/09,64.63,63
28/05/09,64.13,63
29/05/09,64.12,62.75
2/06/09,72.1,71.25
3/06/09,70.25,68.1
4/06/09,72.75,68.9
5/06/09,73.6,68.25
8/06/09,73.6,68.75
9/06/09,74.1,69.8
10/06/09,74.1,70.3
11/06/09,74.75,69.2
12/06/09,74.9,67.95
15/06/09,73,68
17/06/09,71.65,65.6
18/06/09,72.35,64.75
19/06/09,73.5,64.9
22/06/09,71.15,61.25
23/06/09,72.2,65.45
24/06/09,72.35,65.6
25/06/09,72.5,66
26/06/09,71.95,65.1
30/06/09,69.3,62.85
1/07/09,69.4,63.6
2/07/09,68.8,64.25
6/07/09,70.95,63.9
7/07/09,70.75,64.25
8/07/09,71,64.6
9/07/09,71.6,66.5
10/07/09,72.5,67.1
13/07/09,72.15,68.1
14/07/09,72.7,68.65
15/07/09,73,68.6
16/07/09,74,68.75
20/07/09,73.6,67.4
21/07/09,74.6,67.4
22/07/09,73.75,67.35
23/07/09,74.25,67.5
24/07/09,74.4,67.75
27/07/09,74.4,68
28/07/09,73.85,67.75
29/07/09,73.5,67.5
30/07/09,73.3,67.65
31/07/09,73.7,67.7
4/08/09,73.75,68.4
5/08/09,73.65,68.9
6/08/09,74.25,69.85
7/08/09,74.05,69.9
10/08/09,73.85,70.6
11/08/09,73.95,70.35
12/08/09,73.95,70.6
13/08/09,74.35,70.75
14/08/09,73.65,71
18/08/09,73.3,71.1
19/08/09,73.2,71.1
20/08/09,73.4,71.15
21/08/09,72.9,71.4
24/08/09,72.7,71.4
25/08/09,72.7,71.85
26/08/09,72.75,71.6
27/08/09,72.7,71.4
28/08/09,72.35,70.85
31/08/09,72.35,70.85
1/09/09,67.75,68.25
2/09/09,66.7,67.45
3/09/09,66.9,67.75
4/09/09,66.35,67
8/09/09,66.5,67.35
9/09/09,66.9,68.1
10/09/09,67.5,68.25
11/09/09,67,67.9
14/09/09,67.1,66.75
17/09/09,68.85,68.25
18/09/09,68.4,68.2
21/09/09,68.25,68
22/09/09,68.55,69
23/09/09,68.35,68.85
24/09/09,67.95,68.25
25/09/09,67.95,68.2
28/09/09,69.7,69.1
29/09/09,69.55,69.6
30/09/09,71.1,70.9
1/10/09,71.05,71.2
2/10/09,70.45,70.4
5/10/09,70.55,70.8
6/10/09,71.55,72.5
7/10/09,71.95,72.7
8/10/09,71.95,72.45
9/10/09,71.5,72.55
12/10/09,72,73.15
13/10/09,72.1,72.9
14/10/09,71.9,73.2
15/10/09,71.7,73.15
19/10/09,71.4,73.2
20/10/09,70.9,72.85
21/10/09,71.7,73.45
22/10/09,71.95,74.05
23/10/09,72.4,73.85
26/10/09,71.7,72.8
27/10/09,72.05,73.45
28/10/09,72.05,73.2
29/10/09,72.45,73.75
30/10/09,72.3,74.15
3/11/09,75,75.6
4/11/09,75.25,75.85
5/11/09,75.75,75.9
6/11/09,76.65,76.3
9/11/09,77,76.8
10/11/09,76.85,77.35
11/11/09,78.1,77.25
12/11/09,77.8,77.15
13/11/09,78.55,77.5
17/11/09,80.15,77.95
18/11/09,80.2,78.55
19/11/09,80.1,77.65
20/11/09,80.4,77.6
23/11/09,80.35,77.65
24/11/09,79.7,77.55
25/11/09,80.25,77.55
27/11/09,80.1,77.55
30/11/09,81.8,77.35
1/12/09,81.35,77.5
2/12/09,81.2,76.65
3/12/09,81,76.75
4/12/09,80.7,76.6
7/12/09,80.5,76.35
8/12/09,80.4,76.25
9/12/09,80.75,76.45
