NCF_r,RCF_r,WTI_r,HH_r,Brent_r,NBP_r
0.043427877,0.041118247,0.051499035,0.074767908,0.056163106,0.051963349
0.045319272,0.04743515,-0.001029124,0.045271771,0.018173241,0.06951807
-0.032523192,-0.025752496,-0.127430951,-0.035032774,-0.096973942,-0.018595054
0.006337157,-0.026433257,-0.025347798,0.011814483,-0.026291142,-0.034258053
-0.02883891,-0.005970167,-0.024039035,-0.062303883,-0.005612317,0.006121641
0.02440712,-0.024243612,-0.077649408,-0.001787311,-0.034584919,-0.050965049
0.016362857,-0.015456258,0.003182182,0.019486888,0.043772659,0.025780039
0.000624025,-0.00938974,-0.009042615,-0.041187558,0.005561131,0.037462825
0.009313945,0.012500163,-0.055478256,-0.037248254,-0.008688926,0.080600784
0.004316997,-0.033473286,0.085480506,-0.080991925,-0.024234002,-0.234702343
0.001230012,0.003846159,0.098440073,0.002055499,0.031591075,-0.009691817
0.004904976,-0.005131506,-0.005418791,-0.031285137,0.008184981,0.059097077
0.003053437,0,0.063829553,0.006335818,0.06358797,0.038647244
0.003044142,0.009600074,0.030126705,-0.027749913,-0.029583611,-0.004307284
0.009679446,-0.006389798,-0.109670867,0.029852963,-0.07126181,0.045823731
-0.004828012,0,0.008840101,0.016667052,0.026403429,0.051673278
0.003020238,0.003200003,-0.011002264,-0.027226813,0.01107431,0.024298797
-0.003625382,-0.019355443,0.003601012,0.012658397,0.010517187,-0.010457074
-0.08327634,-0.029754261,-0.020823997,0.055059777,-0.040023127,-0.057774379
0.009820046,0.016639319,-0.014789523,-0.005970167,0.001586762,-0.009184006
0.011658163,0.013114942,0.021617152,-0.034521194,0.0509988,0.02907326
0.003214403,0.019355443,-0.022362401,-0.035755649,-0.005395502,-0.003387371
0.026600682,0.033304995,-0.016537586,0.019088597,-0.00412014,0.028614051
-0.017654935,-0.033304995,-0.052916909,0.016667052,-0.031118035,-0.079218747
-0.007662873,-0.02720375,-0.04383443,-0.033616611,-0.007424941,-0.103403852
-0.012903405,0.017572857,-0.054330113,0.010627093,0.008321199,-0.113876482
0.004535155,-0.019544596,0.026962062,-0.083749357,-0.084550801,-0.129365655
-0.004535155,0,-0.008329791,0,-0.036737812,0.0381063
0.007762005,-0.021277398,0.132954359,0.024972921,0.0598658,-0.065246049
0,-0.003365873,-0.006333143,-0.057686118,-0.00238436,-0.043309932
-0.011665719,-0.046937532,-0.043897452,0.004739345,-0.021719,-0.091884072
-0.009168368,-0.012086887,0.031366921,-0.004739345,0.036175941,0.020988393
-0.001975634,-0.002148229,0.0690958,-0.002378122,0.041254842,-0.022008851
0,0.009275842,0.036316181,-0.028987537,0.048908425,0.053627787
-0.047242253,-0.020086759,0.022215502,-0.009852296,-0.003446051,-0.079457827
-0.164920282,-0.23315729,-0.060214174,0.092154892,-0.05887319,0.015103332
0.016970104,0.049095089,0.085486681,-0.046197591,0.053898593,0.066260651
-0.012903405,0,-0.039185378,-0.002366865,-0.055272534,-0.101380044
-0.004066699,0.003478264,0.042492624,-0.071195702,0.027349428,-0.028879332
0.006498804,0.006920443,0.034187665,-0.017972242,-0.016183765,-0.04501053
0.005652013,0.021322769,-0.02869978,0.00516797,-0.003859694,0.035238477
0.010412589,-0.030850776,-0.073098109,0.0102565,-0.059999249,-0.057926638
-0.014446479,-0.018445846,0.099668416,-0.012837147,0.085379612,-0.006655015
0.003228413,0.008826183,-0.014818267,0.007722046,-0.003554769,-0.011512868
-0.007278641,0.001755927,0.023731739,-0.031252544,-0.021370738,0.052809823
0.002432105,0.00873368,0.016553547,-0.00796817,0.080357487,-0.022662411
0.018452188,0.045056495,0.067106916,-0.018843088,0.061241548,0.063506533
-0.010387628,0.00166113,0.001747404,0.080878479,0.010796061,0.018004482
-0.001607717,0.044632154,0.028682655,0.044124805,0.042990668,0.10393121
0.001607717,0.002378122,0.005826537,-0.009638629,0.000560905,-0.032113759
-0.006446437,-0.003966685,-0.021212917,0,-0.033257222,-0.063350986
0.002422286,0.011853161,0.030725252,0.007237667,0.032509279,-0.037932961
-0.00809721,-0.03436215,-0.027476324,-0.109106841,-0.028074681,-0.014768253
-0.006525309,0.038282187,-0.054300452,-0.041045433,-0.054355835,0.022017068
0.014622519,0.007794272,-0.024058245,-0.005602256,-0.016177275,0.061650615
0.034089706,0.043303385,0.0821675,0.035865913,0.085237854,-0.0387234
-0.006254907,-0.011215071,-0.001712166,-0.008163311,0.013556977,-0.013829231
-0.022205512,-0.002258187,-0.027409552,0.021622464,-0.023272264,-0.031479309
0.004800009,0.006010537,-0.039314651,-0.038151766,-0.019718404,0.005239043
-0.008817692,-0.005257241,0.004873106,-0.028170877,0.007197774,-0.016667445
