DATE,Price_NZ,NZ_BTU,NZ_USD_Q,NZBTU_USD,HH
1/03/99,2.885704402,3.044579744,0.5394,1.642246314,1.903333333
1/06/99,2.936803777,3.098492445,0.5374,1.66512984,2.29
1/09/99,2.698549338,2.84712067,0.521433333,1.484583621,2.693333333
1/12/99,2.827617093,2.983294379,0.511566667,1.526153961,2.383333333
1/03/00,2.871243569,3.029322755,0.493033333,1.493557095,2.83
1/06/00,2.719360969,2.869078106,0.467333333,1.340815835,3.956666667
1/09/00,2.58079606,2.722884367,0.422133333,1.149420254,4.836666667
1/12/00,2.775458592,2.92826424,0.4239,1.241291211,7.53
1/03/01,2.702110535,2.850877933,0.420533333,1.1988892,5.343333333
1/06/01,2.701230689,2.849949645,0.4152,1.183299093,3.673333333
1/09/01,2.669452948,2.81642235,0.4215,1.18712202,2.54
1/12/01,3.012689077,3.178555687,0.418866667,1.331391025,2.32
1/03/02,3.024625561,3.191149346,0.4311,1.375704483,2.926666667
1/06/02,2.856385072,3.013646209,0.477133333,1.437911061,3.25
1/09/02,3.034585661,3.201657809,0.471433333,1.509368213,3.59
1/12/02,3.024699487,3.191227342,0.515733333,1.645822314,4.736666667
1/03/03,3.14215564,3.315150161,0.5528,1.832615009,6.3
1/06/03,3.12506741,3.297121122,0.581033333,1.915737276,5.553333333
1/09/03,3.191991094,3.367729355,0.589033333,1.983704848,4.746666667
1/12/03,3.638525101,3.838847739,0.6489,2.491028298,5.58
1/03/04,3.921274793,4.137164498,0.664966667,2.751076486,5.49
1/06/04,3.439736375,3.629114501,0.6305,2.288156693,6.176666667
1/09/04,3.369951535,3.555487587,0.665166667,2.364991827,5.636666667
1/12/04,3.717631747,3.92230968,0.705833333,2.768496916,6.3
1/03/05,3.648102562,3.848952497,0.721133333,2.775607944,6.753333333
1/06/05,3.45242637,3.642503157,0.702333333,2.558251384,7.093333333
1/09/05,3.327039083,3.510212547,0.697433333,2.448139237,11.56666667
1/12/05,4.34502754,4.584247376,0.691266667,3.168937403,10.68
1/03/06,4.368254189,4.608752792,0.6433,2.964810671,7.196666667
1/06/06,4.435599751,4.679806131,0.6224,2.912711336,6.21
1/09/06,4.575847298,4.827775147,0.649333333,3.134835329,5.963333333
1/12/06,4.981873136,5.256155143,0.685333333,3.602218325,6.896666667
1/03/07,5.158025491,5.442005743,0.708933333,3.858019271,7.57
1/06/07,5.276432618,5.566931892,0.758066667,4.220105503,7.07
1/09/07,5.420875701,5.719327433,0.7354,4.205993395,6.346666667
1/12/07,5.122735517,5.404772844,0.7676,4.148703635,7.4
1/03/08,4.962037189,5.235227109,0.7965,4.169858392,9.376666667
1/06/08,5.084008555,5.36391373,0.7643,4.099639264,11.68333333
1/09/08,5.567637106,5.874168935,0.666233333,3.91356715,7.556666667
1/12/08,5.770958893,6.088684806,0.5582,3.398703859,5.913333333
1/03/09,6.739482396,7.110531339,0.538933333,3.832102356,3.993333333
1/06/09,7.067293575,7.45639049,0.626666667,4.672671374,3.67
1/09/09,6.931728812,7.313362074,0.705366667,5.158601828,3.38
1/12/09,6.880380866,7.259187115,0.724933333,5.262426712,4.946666667
1/03/10,7.19839248,7.594707177,0.7043,5.348952265,4.546666667
1/06/10,6.402182264,6.754660811,0.701033333,4.735242384,4.523333333
1/09/10,7.423849619,7.832577084,0.730466667,5.721436474,3.88
1/12/10,7.60972496,8.028685978,0.7628,6.124281664,4.15
1/03/11,7.30020291,7.702122881,0.763,5.876719758,4.1
1/06/11,7.201765187,7.598265571,0.818766667,6.221206574,4.423333333
1/09/11,7.321424753,7.724513114,0.813533333,6.284148902,3.843333333
1/12/11,6.270751279,6.615993762,0.781066667,5.167532194,3.026666667
1/03/12,6.584252157,6.946754744,0.8247,5.728988637,2.21
1/06/12,6.78740377,7.161091072,0.784833333,5.620262976,2.613333333
1/09/12,6.727378968,7.097761544,0.815666667,5.7894075,3.003333333
1/12/12,6.216690187,6.558956282,0.8295,5.440654236,3.403333333
1/03/13,6.886027967,7.265145123,0.838,6.088191613,3.77
1/06/13,6.9163319,7.297117469,0.801933333,5.851801736,3.83
1/09/13,7.051542941,7.439772689,0.8132,6.050023151,3.576666667
1/12/13,7.166571179,7.561133922,0.825833333,6.24423643,4.196666667
1/03/14,6.851256245,7.228459009,0.847466667,6.125878061,5.186666667
1/06/14,6.457522766,6.813048139,0.864233333,5.888063303,4.406666667
1/09/14,7.140466287,7.533591799,0.815666667,6.144899711,3.87
1/12/14,6.890009565,7.269345932,0.774533333,5.630350736,3.53
1/03/15,6.1766678,6.516730422,0.75,4.887547817,2.77
1/06/15,6.392942057,6.744911875,0.7012,4.729532207,2.823333333
1/09/15,6.411063603,6.764031121,0.651766667,4.408570017,2.59
1/12/15,5.699209274,6.01298494,0.6608,3.973380448,2.1
1/03/16,5.87623132,6.199753112,0.675266667,4.186486618,1.88
