Date,ConsRatio,PriceRatio,ConsRatioL,ConsRatD,Q1,Q2,Q3,Q4,PriceRat2,PriceRatD,PriceRatL
Mar-06,-0.80323077,0.143038021,NA,NA,1,0,0,0,0.109981998,NA,NA
Jun-06,-0.740312682,0.052013996,-0.80323077,0.062918088,0,1,0,0,0.077152978,-0.03282902,0.109981998
Sept-06,-0.795363773,0.167690745,-0.740312682,-0.055051091,0,0,1,0,0.023131961,-0.054021017,0.077152978
Dec-06,-0.482441982,0.217325422,-0.795363773,0.312921791,0,0,0,1,-0.023183706,-0.046315667,0.023131961
Mar-07,-0.400200245,0.201160059,-0.482441982,0.082241737,1,0,0,0,-0.023240852,-5.71E-05,-0.023183706
Jun-07,-0.23578803,0.097854649,-0.400200245,0.164412215,0,1,0,0,0.0415566,0.064797452,-0.023240852
Sept-07,-0.849266479,0.186241586,-0.23578803,-0.613478449,0,0,1,0,0.0158472,-0.0257094,0.0415566
Dec-07,-0.246795316,0.196971543,-0.849266479,0.602471163,0,0,0,1,-0.042260482,-0.058107682,0.0158472
Mar-08,-0.622676947,0.206982574,-0.246795316,-0.375881631,1,0,0,0,-0.089133544,-0.046873062,-0.042260482
Jun-08,-0.682550805,0.121726364,-0.622676947,-0.059873858,0,1,0,0,-0.044104888,0.045028656,-0.089133544
Sept-08,-0.712206547,0.142417251,-0.682550805,-0.029655742,0,0,1,0,-0.045603225,-0.001498337,-0.044104888
Dec-08,-0.732240473,0.317621021,-0.712206547,-0.020033926,0,0,0,1,-0.155159367,-0.109556142,-0.045603225
Mar-09,0.116124989,0.348531658,-0.732240473,0.848365462,1,0,0,0,-0.199382221,-0.044222854,-0.155159367
Jun-09,-0.423980325,0.190263084,0.116124989,-0.540105314,0,1,0,0,-0.058975048,0.140407173,-0.199382221
Sept-09,-0.512869313,0.230711137,-0.423980325,-0.088888988,0,0,1,0,-0.059637397,-0.000662349,-0.058975048
Dec-09,-0.336954189,0.234166825,-0.512869313,0.175915124,0,0,0,1,-0.067295623,-0.007658226,-0.059637397
Mar-10,-0.224900306,0.221181686,-0.336954189,0.112053883,1,0,0,0,-0.069423303,-0.00212768,-0.067295623
Jun-10,-0.284199476,0.199035457,-0.224900306,-0.05929917,0,1,0,0,-0.018493649,0.050929654,-0.069423303
Sept-10,-1.003154159,0.260157981,-0.284199476,-0.718954683,0,0,1,0,-0.062907967,-0.044414318,-0.018493649
Dec-10,-0.332019594,0.253179655,-1.003154159,0.671134565,0,0,0,1,-0.09188191,-0.028973943,-0.062907967
Mar-11,-0.582461963,0.211722772,-0.332019594,-0.250442369,1,0,0,0,-0.073316074,0.018565836,-0.09188191
Jun-11,-0.518340402,0.175103389,-0.582461963,0.064121561,0,1,0,0,-0.021346529,0.051969545,-0.073316074
Sept-11,-0.835611396,0.23175422,-0.518340402,-0.317270994,0,0,1,0,-0.076842638,-0.055496109,-0.021346529
Dec-11,0.067810649,0.278959823,-0.835611396,0.903422045,0,0,0,1,-0.110346018,-0.03350338,-0.076842638
Mar-12,-0.078238701,0.21995533,0.067810649,-0.14604935,1,0,0,0,-0.068755249,0.041590769,-0.110346018
Jun-12,-0.071060971,0.222796157,-0.078238701,0.00717773,0,1,0,0,-0.02207149,0.046683759,-0.068755249
Sept-12,-0.19037026,0.224211295,-0.071060971,-0.119309289,0,0,1,0,-0.031718018,-0.009646528,-0.02207149
Dec-12,-0.375047554,0.298716391,-0.19037026,-0.184677294,0,0,0,1,-0.099951291,-0.068233273,-0.031718018
Mar-13,-0.39227962,0.24763002,-0.375047554,-0.017232066,1,0,0,0,-0.058296426,0.041654865,-0.099951291
Jun-13,0.15876162,0.245987789,-0.39227962,0.55104124,0,1,0,0,-0.029122515,0.029173911,-0.058296426
Sept-13,-0.84849487,0.250615462,0.15876162,-1.00725649,0,0,1,0,-0.020827737,0.008294778,-0.029122515
Dec-13,0.448128459,0.322641941,-0.84849487,1.296623329,0,0,0,1,-0.101337539,-0.080509802,-0.020827737
Mar-14,0.133611761,0.306355317,0.448128459,-0.314516698,1,0,0,0,-0.088295032,0.013042507,-0.101337539
Jun-14,0.122672894,0.251916838,0.133611761,-0.010938867,0,1,0,0,-0.02909049,0.059204542,-0.088295032
Sept-14,-0.288974826,0.3043255,0.122672894,-0.41164772,0,0,1,0,-0.055902063,-0.026811573,-0.02909049
Dec-14,-0.814796939,0.455638601,-0.288974826,-0.525822113,0,0,0,1,-0.140926742,-0.085024679,-0.055902063
Mar-15,-0.058396034,0.459449288,-0.814796939,0.756400905,1,0,0,0,-0.125104696,0.015822046,-0.140926742
Jun-15,-0.033409755,0.343975764,-0.058396034,0.024986279,0,1,0,0,-0.061437775,0.063666921,-0.125104696
Sept-15,-0.985364885,0.436931558,-0.033409755,-0.95195513,0,0,1,0,-0.106524955,-0.04508718,-0.061437775
Dec-15,-0.234009798,0.569798722,-0.985364885,0.751355087,0,0,0,1,-0.193537625,-0.08701267,-0.106524955
Mar-16,-0.71133604,0.527834443,-0.234009798,-0.477326242,1,0,0,0,-0.124463573,0.069074052,-0.193537625
Jun-16,-0.375546246,0.379511391,-0.71133604,0.335789794,0,1,0,0,0.015097708,0.139561281,-0.124463573
Sept-16,-0.578452403,0.482244152,-0.375546246,-0.202906157,0,0,1,0,-0.033962517,-0.049060225,0.015097708
Dec-16,-0.346594216,0.484313567,-0.578452403,0.231858187,0,0,0,1,-0.104225015,-0.070262498,-0.033962517
Mar-17,-0.525266079,0.484686312,-0.346594216,-0.178671863,1,0,0,0,-0.108477981,-0.004252966,-0.104225015
Jun-17,-0.020658992,0.436315987,-0.525266079,0.504607087,0,1,0,0,-0.045376823,0.063101158,-0.108477981
Sept-17,-0.579589445,0.425502342,-0.020658992,-0.558930453,0,0,1,0,-0.054471872,-0.009095049,-0.045376823
Dec-17,-0.491346751,0.426173345,-0.579589445,0.088242694,0,0,0,1,-0.099466809,-0.044994937,-0.054471872
Mar-18,-0.122146913,0.423796399,-0.491346751,0.369199838,1,0,0,0,-0.070179824,0.029286985,-0.099466809
Jun-18,-0.268262649,0.319512762,-0.122146913,-0.146115736,0,1,0,0,-0.020966015,0.049213809,-0.070179824
Sept-18,-0.710215955,0.348571778,-0.268262649,-0.441953306,0,0,1,0,-0.061564346,-0.040598331,-0.020966015
Dec-18,-0.682966495,0.535023453,-0.710215955,0.02724946,0,0,0,1,-0.143365433,-0.081801087,-0.061564346
Mar-19,-0.800109486,0.449963268,-0.682966495,-0.117142991,1,0,0,0,-0.10190092,0.041464513,-0.143365433
Jun-19,-0.650094829,0.318953101,-0.800109486,0.150014657,0,1,0,0,0.008111534,0.110012454,-0.10190092
Sept-19,-0.442484303,0.353871099,-0.650094829,0.207610526,0,0,1,0,-0.069775461,-0.077886995,0.008111534
Dec-19,-0.738530693,0.425150067,-0.442484303,-0.29604639,0,0,0,1,-0.161960291,-0.09218483,-0.069775461
Mar-20,-0.209893732,0.544693056,-0.738530693,0.528636961,1,0,0,0,-0.090168959,0.071791332,-0.161960291
