,DATE,WTI_HH,NCF_RCF,NCF_WTI,NCF_HH,NCF_NBP,NCF_B,RCF_B,RCF_NBP,WTI_B,WTI_HH_r,NCF_RCF_r,NCF_WTI_r,NCF_HH_r,NCF_NBP_r,NCF_B_r,RCF_B_r,RCF_NBP_r
4,2009-01-05,8.337907375643224,0.9200236966824644,1.5974079407529316,13.319039451114923,9.317754607614654,1.5648931882305523,1.700927045546151,10.127733276016444,0.9796453043127772,-0.0230002403675581,0.0023122990084682993,-0.00803867350957821,-0.030854022454179675,-0.008499148352037356,-0.012654479355814319,-0.014932250536173641,-0.010786505733992091
5,2009-01-06,7.9606557377049185,0.9180790960451978,1.6731878088962109,13.319672131147541,9.094982421889604,1.6079556698990698,1.7514347912131407,9.906534699535138,0.9610132594498318,-0.04524536204855634,-0.0021136419032234954,0.04743927096516165,4.750192646696405e-05,-0.02390835508192035,0.027517840829257345,0.02969424573455015,-0.02184087697146686
6,2009-01-07,7.258064516129033,0.9118840579710146,1.8397660818713453,13.353140916808151,8.969184357199655,1.7150021805494986,1.8807239424334932,9.835882400616278,0.9321849105974706,-0.08825795822926075,-0.006747826086956454,0.099557426900585,0.0025127334465195883,-0.013831589645207143,0.066573048408199,0.07381899221654709,-0.0071318883001717515
7,2009-01-08,6.993288590604027,0.9422619047619049,1.898992322456814,13.280201342281881,9.340781789565863,1.7718826953212448,1.880456682337139,9.913148077366172,0.933064696664428,-0.03648023862788974,0.033313277631459526,0.03219226681536913,-0.005462353387917784,0.04143045984643212,0.033166438746754956,-0.00014210490456589842,0.007855490092587125
8,2009-01-09,7.266071428571428,0.9209580838323354,1.8898992381420499,13.73214285714286,9.019865309131195,1.7312021611886539,1.879783881134624,9.79400199366001,0.9160288158487168,0.03900637510282423,-0.02260923509897461,-0.004788373395317347,0.03403122461871666,-0.034356490459197864,-0.022958931897698487,-0.000357786068051702,-0.012018995658725107
11,2009-01-12,6.735241502683363,0.9668711656441717,2.092961487383798,14.096601073345258,9.725988900104085,1.8364017711489165,1.8993241668608718,10.059239788813235,0.8774178513167095,-0.07305597407159414,0.049853606388664984,0.1074460718029484,0.02654052029562326,0.07828538085353132,0.06076679680669517,0.01039496397556805,0.027081656234593687
12,2009-01-13,6.626315789473685,0.9981308411214953,2.120730738681493,14.052631578947366,9.634827411192239,1.786749944233772,1.7900959179121125,9.652870159153274,0.8425161722061121,-0.01617250297057371,0.03233075572845023,0.01326792273297217,-0.0031191557574139495,-0.009372978917431274,-0.027037562093005674,-0.05750900812750015,-0.040397648151491605
13,2009-01-14,6.842778793418647,1.008176100628931,2.1413304835693294,14.652650822669106,9.286350079177286,1.7779503105590064,1.7635314995563443,9.211039691760377,0.830301685891748,0.03266717295436283,0.010064070854827856,0.009713512664339508,0.04269799861690271,-0.03616850797038118,-0.004924938547312574,-0.014839661992387398,-0.0457719269096285
14,2009-01-15,6.719165085388994,1.004968944099379,2.284665348771534,15.35104364326376,8.647400450864131,1.810248377713135,1.8012978294920565,8.604644453579265,0.7923472812709779,-0.01806484058034208,-0.0031811471503353506,0.06693729263279491,0.04766324053216153,-0.06880524887230632,0.018165899779265304,0.021415171742162453,-0.06583352786152408
15,2009-01-16,6.950884086444009,1.0450563204005006,2.3600904465799886,16.404715127701376,9.49326217138533,inf,inf,9.08397182627171,inf,0.03448627889183653,0.039889169248952916,0.03301363057351514,0.06863842673654186,0.09781687864781063,inf,inf,0.05570565701794461
19,2009-01-20,7.936213991769547,1.0436737315350033,2.1065595022037855,16.718106995884774,10.98222536623998,1.8626776707932142,1.7847317744154056,10.52266147399117,0.8842274186153142,0.14175605477973408,-0.001322980243751215,-0.10742424924586902,0.01910376777309586,0.15684420886875894,-1.0,-1.0,0.15837671838200018
20,2009-01-21,8.739219712525667,1.040946896992962,1.9114191729323307,16.704312114989733,11.10282876328982,1.8069746779209237,1.7358951577076855,10.666085652748611,0.9453576188360728,0.1011824683140976,-0.002612727004281945,-0.09263461538461559,-0.0008251461064603394,0.010981690233800911,-0.029904794450330008,-0.027363560960703248,0.013630028782351644
21,2009-01-22,8.96822033898305,1.0514469453376205,1.9312544294826366,17.31991525423729,10.517155893453943,1.8010575016523462,1.7129323639568186,10.002554993468427,0.9325842696629213,0.02620378408946089,0.010087016326183917,0.010377240550473621,0.03685294761076352,-0.05274987864104819,-0.0032746315379392765,-0.013228214647012515,-0.06220938785628394
22,2009-01-23,9.498947368421051,1.0546623794212218,1.8173758865248228,17.263157894736842,10.149394130679639,1.6952656605333885,1.6074012817862313,9.623358459272461,0.9328095927227621,0.05917863404080714,0.003058103975535076,-0.058966100592100945,-0.0032769998390472788,-0.03496779609430389,-0.058738736004764425,-0.061608434980359617,-0.03790996744767494
25,2009-01-26,10.064935064935066,1.0477707006369428,1.7688172043010753,17.8030303030303,10.224281581065501,1.7514906303236797,1.6716354344122657,9.758128925393821,0.9902044293015332,0.05958425439808446,-0.006534488115581549,-0.02671911880409139,0.03127309682187707,0.0073785143646645235,0.03316587547263894,0.039961491479373334,0.014004514815875169
26,2009-01-27,8.754201680672269,1.0647435897435897,1.9930405567554594,17.44747899159664,9.861331043398883,1.899153898925223,1.7836725360164647,9.261695621735253,0.952892750971873,-0.13022770398481975,0.016199049177772373,0.12676457008059416,-0.019971392812443978,-0.03549887928935491,0.08430719870551329,0.06702244957112335,-0.05087382093986148
27,2009-01-28,8.685950413223141,1.0596153846153846,1.9659847764034255,17.076446280991735,9.31960143904118,1.8407572383073498,1.7371937639198218,8.795268145737593,0.9363028953229399,-0.0077964010813018625,-0.004816375677302864,-0.01357512784189352,-0.02126569178181026,-0.05493473466954868,-0.030748777469230548,-0.026057906458797353,-0.05036091608355742
28,2009-01-29,8.828025477707007,1.0594249201277957,1.993746993746994,17.600849256900215,9.123388714907419,1.8259911894273129,1.723568281938326,8.61164254452962,0.9158590308370044,0.016356881829255654,-0.00017974869972103846,0.01412127788413331,0.030709139787018058,-0.021053767740731644,-0.008021725283891779,-0.007843386422681564,-0.020877771793343602
29,2009-01-30,8.748427672955975,1.0762214983713354,1.9793913251857178,17.31656184486373,9.185930290910962,1.8003487358326067,1.6728421970357454,8.535352903479616,0.909546643417611,-0.009016490148565648,0.01585443000671871,-0.007200346185499029,-0.016151914483616858,0.006855081807634944,-0.014043032487330076,-0.0294308530936378,-0.00885889546105989
33,2009-02-03,8.109126984126984,1.0201342281879195,1.8595546855884513,15.079365079365079,8.954632860759652,1.7241379310344829,1.69010889292196,8.777896685876238,0.9271778584392014,-0.07307606723494575,-0.05211498773095846,-0.06054216671179091,-0.12919405050155652,-0.025179532483516343,-0.042331134674793214,0.010321772081557379,0.028416374242445697
34,2009-02-04,8.037924151696608,1.0132013201320131,1.9058852743978145,15.319361277445111,9.12643445997056,1.738391845979615,1.7157417893544735,9.007523261795047,0.9121177802944508,-0.008780579286740808,-0.006796074344276648,0.024914883745245753,0.015915537346359976,0.01918577811981148,0.008267270668176563,0.015166417110673791,0.026159635290340377
35,2009-02-05,8.50206611570248,1.011726384364821,1.8869987849331715,16.043388429752067,8.96887267553877,1.6713301764959105,1.6519586741282823,8.864919225339351,0.8857081360309944,0.057744008931448265,-0.001455718363059355,-0.009909562615520229,0.0472622284437505,-0.017264330897555857,-0.03857684309714082,-0.03717524141566131,-0.01583165897117844
36,2009-02-06,8.616702355460387,0.9955271565495208,1.9358846918489065,16.680942184154176,9.028279026902187,1.6857822982038522,1.6933564163600952,9.068842539860025,0.8708071845920796,0.013483339014052742,-0.016011471150344958,0.02590669761213782,0.03973934541282942,0.006623614083120843,0.00864707758597505,0.025059792887166532,0.023003403566022707
39,2009-02-09,8.315126050420169,0.9888751545117428,2.02122283981809,16.80672268907563,9.010120054218397,1.7383746197305519,1.7579313342025207,9.111483904828356,0.8600608431116905,-0.034999039377182295,-0.006681889081593506,0.04408224742336264,0.007540371732775331,-0.002011343759943607,0.031197576094336155,0.03813427416611481,0.0047019633190135135
40,2009-02-10,7.756198347107438,1.0044728434504793,2.0937666489078315,16.2396694214876,9.58224788368253,1.7619367854741088,1.7540910109840844,9.539578840943488,0.8415153553015019,-0.06721818766469423,0.015773162939297203,0.03589104954714961,-0.03373966942148776,0.06349835807085302,0.013554135843981241,-0.002184569524257607,0.04698410715386059
41,2009-02-11,7.677350427350428,1.0242941562705186,2.170887837461731,16.666666666666668,10.545014476682566,1.7615176151761518,1.7197380307136405,10.294908364094583,0.811427280939476,-0.010165794662331695,0.019733049976693007,0.036833707612129674,0.026293469041560824,0.10047398112498396,-0.000237903142390139,-0.0195844913720703,0.07917849789230225
42,2009-02-12,7.194503171247357,0.9935483870967742,2.2627093740816924,16.279069767441857,11.66538912980863,1.7245240761478164,1.7357222844344906,11.741138409872324,0.7621500559910415,-0.06289243413755552,-0.030016542597187668,0.042296766804553965,-0.023255813953488635,0.10624685775476839,-0.021000947540701143,0.009294586405242944,0.14048012810116295
43,2009-02-13,8.180434782608696,1.0032258064516129,2.066170608557002,16.90217391304348,12.418904553267167,inf,inf,12.3789723842856,inf,0.13703956866703315,0.009740259740259605,-0.08685992455591174,0.03827639751552825,0.06459410955551181,inf,inf,0.05432471300031394
47,2009-02-17,8.036781609195403,1.0177631578947368,2.212528604118993,17.7816091954023,13.336799234393581,1.885205946868145,1.8523031927857665,13.104030275551548,0.8520594686814525,-0.017560579263915743,0.014490607547808398,0.07083538743405415,0.052030897734412385,0.07391108267153368,-1.0,-1.0,0.058571735097039834
48,2009-02-18,7.9701149425287365,1.013157894736842,2.2209402942024803,17.70114942528736,12.780053291162478,1.9469026548672568,1.9216182048040455,12.614078573095432,0.8766118836915299,-0.008295194508009085,-0.004524886877828149,0.0038018446712180243,-0.004524886877828038,-0.04174509441480834,0.032726773486794425,0.0374209860935526,-0.03738939029851207
49,2009-02-19,8.878923766816143,1.0430107526881718,1.9595959595959593,17.39910313901345,13.74800432481035,1.8480590616813526,1.7718504405810909,13.18107631141611,0.9430816861157418,0.11402706621431258,0.029465158497416377,-0.11767283221828684,-0.01706365383495445,0.07573920167588177,-0.05076966377275982,-0.07793835625023493,0.04494959620197925
50,2009-02-20,9.346793349168646,1.0465273095077543,1.9720457433290977,18.432304038004748,14.356511551219594,1.8524707567438528,1.7701121986154214,13.71823880828522,0.9393650035808069,0.052694402456872735,0.003371544167228624,0.006353240152477735,0.05938242280285033,0.04426149512559441,0.002387204583432778,-0.0009810319911083276,0.040752551929607916
